"Season","Team","PA","HR","R","RBI","SB","ISO","BABIP","AVG","OBP","SLG","wOBA","wRAA","wRC+","EV","BsR","Off","Def","WAR"
"1894","Orioles","5413","33","1171","976","324",".140",".353",".343",".418",".483",".417","210.2","114","","6.9","156.3","70.1","35.2"
"1894","Phillies","5520","40","1143","981","273",".128",".361",".349",".414",".476",".413","190.2","114","","-5.1","144.4","17.9","29.4"
"1894","Beaneaters","5593","103","1220","1043","241",".153",".335",".331",".401",".484",".406","151.2","105","","-8.6","50.3","16.7","23.7"
"1927","Yankees","6222","158","976","908","90",".181",".324",".307",".384",".488",".400","266.7","126","","-14.2","203.7","76.2","49.3"
"1895","Phillies","5689","61","1068","930","276",".119",".340",".330",".394",".450",".397","182.2","117","","-0.2","162.5","4.7","31.3"
"1936","Yankees","6391","182","1065","997","77",".184",".310",".300",".381",".483",".394","232.8","113","","-6.2","124.6","68.7","40.4"
"1896","Orioles","5323","23","995","854","441",".101",".339",".328",".393",".429",".392","172.9","117","","29.8","173.8","30.9","35.0"
"1930","Yankees","6272","152","1062","986","91",".179",".324",".309",".384",".488",".388","180.6","124","","-11.9","204.3","-1.1","38.6"
"1950","Red Sox","6322","161","1027","974","32",".162",".315",".302",".385",".464",".388","215.4","109","","-3.1","78.9","32.4","32.7"
"1897","Orioles","5496","19","964","821","401",".089","",".325",".394",".414",".388","160.8","114","","27.0","147.7","56.6","36.0"
"1931","Yankees","6473","155","1067","990","139",".160",".309",".297",".383",".457",".387","242.7","124","","-3.4","206.4","18.8","45.0"
"1895","Orioles","5311","25","1009","828","310",".103",".338",".324",".384",".427",".384","111.5","109","","11.1","89.7","76.8","31.7"
"1921","Yankees","6056","134","948","863","89",".164",".317",".300",".374",".464",".384","173.5","111","","7.9","103.8","61.9","36.4"
"1930","Cubs","6354","171","998","941","70",".172",".325",".309",".378",".481",".383","154.7","107","","13.5","78.3","37.3","30.2"
"1929","Phillies","6216","153","897","841","59",".158",".317",".309",".377",".467",".383","157.5","100","","9.2","10.0","-7.3","19.7"
"1897","Beaneaters","5521","45","1025","885","233",".108","",".319",".378",".426",".381","127.6","108","","-3.0","64.2","64.9","30.1"
"1894","Colts","5492","65","1041","895","327",".127",".324",".314",".380",".441",".381","12.5","94","","11.8","-55.5","-30.6","11.2"
"1894","Pirates","5178","48","955","803","256",".131",".319",".312",".379",".443",".381","10.4","100","","1.0","2.9","25.1","19.3"
"1939","Yankees","6129","166","967","904","72",".164",".295",".287",".374",".451",".380","176.5","113","","-4.6","104.6","129.7","44.7"
"1894","Grooms","5316","42","1021","866","282",".127",".327",".313",".378",".440",".379","2.7","102","","4.9","24.4","15.3","20.3"
"1921","Tigers","6293","58","887","793","95",".118",".331",".316",".385",".433",".379","158.4","110","","0.6","86.9","-31.3","26.2"
"1893","Pirates","5433","37","970","816","210",".112",".312",".299",".377",".411",".379","107.3","110","","-7.4","80.5","56.5","29.5"
"1893","Phillies","5690","80","1011","865","202",".129",".311",".301",".368",".431",".379","112.0","108","","-8.2","69.4","33.4","27.3"
"1953","Dodgers","6138","208","955","887","90",".189",".295",".285",".366",".474",".379","205.2","115","","3.9","127.0","80.8","40.4"
"1921","Indians","6264","42","925","847","51",".123",".326",".308",".383",".432",".378","151.8","107","","11.4","68.7","10.8","28.6"
"1922","Browns","6130","98","868","785","136",".143",".321",".310",".369",".453",".378","143.7","107","","8.7","68.3","72.2","33.0"
"1949","Red Sox","6250","131","896","835","43",".139",".293",".282",".381",".420",".378","161.7","106","","-3.4","41.5","61.9","31.5"
"1937","Yankees","6294","174","979","922","60",".173",".293",".283",".369",".456",".378","171.2","110","","-7.7","86.0","63.6","36.6"
"1894","Senators","5269","59","882","762","249",".138",".303",".287",".381",".425",".378","-5.4","95","","-1.8","-50.9","-57.8","8.2"
"1932","Yankees","6344","160","1002","954","77",".169",".293",".286",".376",".454",".377","205.5","119","","-14.9","150.7","20.0","38.5"
"1890","Reds","5321","54","992","772","412",".116",".303",".282",".376",".398",".377","176.1","106","","18.9","77.4","-11.6","26.6"
"1926","Yankees","6092","121","847","791","79",".149",".307",".289",".370",".438",".377","146.7","112","","-13.4","86.8","15.9","32.3"
"1923","Indians","6150","59","886","806","79",".119",".317",".301",".381",".421",".377","144.6","110","","-2.3","81.1","15.6","29.1"
"1929","Cubs","6252","139","982","933","103",".150",".318",".303",".373",".452",".377","123.7","105","","18.0","62.4","74.9","32.8"
"1937","Tigers","6264","150","935","873","89",".160",".314",".292",".370",".452",".377","165.9","104","","-5.9","31.2","44.8","29.4"
"1930","Cardinals","6204","104","1004","942","72",".157",".331",".314",".372",".471",".376","110.4","101","","13.9","24.5","32.7","24.6"
"1893","Spiders","5309","32","976","833","252",".108",".311",".300",".374",".408",".376","93.7","104","","3.0","37.8","-1.4","20.2"
"1938","Red Sox","6003","98","902","860","55",".135",".314",".299",".378",".434",".376","155.5","100","","-14.0","-12.7","39.9","24.8"
"1936","Indians","6251","123","921","853","66",".158",".315",".304",".363",".461",".376","135.8","100","","-14.1","-9.6","14.5","22.2"
"1933","Yankees","6066","144","927","853","76",".156",".292",".284",".369",".440",".375","207.0","118","","-10.2","134.9","-5.1","35.4"
"1930","Giants","6161","143","959","880","59",".155",".323",".319",".369",".473",".375","105.7","103","","11.3","42.4","79.2","30.7"
"1925","Pirates","6036","78","912","820","159",".141",".319",".307",".369",".449",".375","105.4","106","","17.4","68.2","60.1","32.0"
"1936","Tigers","6232","94","921","848","73",".131",".315",".300",".377",".431",".375","130.9","101","","-11.2","-5.0","45.0","25.6"
"1920","Indians","6067","35","856","757","73",".115",".321",".303",".376",".417",".374","177.5","108","","-3.0","58.5","44.3","31.8"
"1928","Yankees","6067","133","894","817","50",".154",".310",".295",".365",".450",".374","143.2","116","","-15.4","114.0","22.1","35.0"
"1938","Yankees","6259","174","966","918","91",".172",".283",".274",".366",".446",".374","150.3","105","","3.4","52.0","63.1","34.2"
"1932","Athletics","6300","172","981","923","37",".167",".303",".290",".367",".457",".373","182.8","111","","-4.4","87.9","64.4","36.7"
"1941","Red Sox","6179","124","865","804","67",".147",".298",".283",".366",".430",".372","172.9","106","","-10.5","38.4","20.3","28.7"
"1893","Giants","5418","61","941","768","299",".117",".302",".293",".366",".410",".371","72.3","106","","12.3","71.2","27.7","25.8"
"1933","Athletics","6050","139","875","831","34",".156",".302",".285",".362",".441",".371","188.2","109","","-8.3","66.6","-27.7","26.1"
"1898","Orioles","6000","12","933","757","250",".066","",".302",".382",".368",".371","169.4","116","","7.4","137.8","56.0","39.5"
"1929","Yankees","6100","142","899","828","52",".156",".306",".296",".364",".451",".371","89.2","113","","-13.8","90.1","58.5","35.0"
"1929","Athletics","5987","122","901","845","63",".154",".305",".295",".365",".450",".371","86.4","108","","-7.8","58.5","48.1","30.7"
"1950","Yankees","6164","159","914","860","41",".159",".285",".282",".367",".441",".371","119.7","108","","-6.0","61.8","54.2","32.7"
"1934","Tigers","6232","74","957","872","125",".124",".322",".300",".376",".424",".370","141.5","107","","-2.4","61.7","62.1","33.5"
"1893","Beaneaters","5285","65","1008","828","243",".101",".299",".290",".372",".391",".370","63.6","99","","0.1","-8.7","27.9","19.5"
"1925","Tigers","6262","50","901","798","97",".111",".319",".302",".380",".413",".370","83.0","102","","6.8","21.3","50.2","27.5"
"1930","Phillies","6288","126","944","884","34",".143",".326",".315",".367",".458",".370","78.2","89","","6.3","-103.8","-61.7","4.2"
"1948","Red Sox","6282","121","907","854","38",".134",".288",".274",".374",".409",".370","135.8","102","","-2.5","12.5","63.5","28.8"
"1940","Tigers","6183","134","888","829","66",".156",".299",".286",".366",".442",".370","170.0","103","","-6.8","14.7","10.1","24.4"
"1948","Indians","6201","155","840","801","54",".150",".292",".282",".360",".431",".369","133.2","114","","-10.4","97.6","112.8","42.0"
"1895","Spiders","5266","29","917","772","187",".089",".327",".305",".375",".395",".369","35.7","96","","-13.8","-46.7","35.5","17.2"
"1930","Athletics","6161","125","951","895","50",".158",".309",".294",".369",".452",".369","73.0","104","","-6.7","32.2","48.4","28.1"
"1927","Athletics","6089","56","841","767","101",".111",".316",".304",".373",".415",".369","112.1","102","","-11.6","8.3","30.6","25.2"
"1929","Tigers","6252","110","927","851","95",".154",".313",".299",".360",".453",".369","81.5","104","","-17.7","12.0","-33.3","19.2"
"1939","Red Sox","6054","124","890","832","42",".146",".303",".291",".363",".436",".368","116.3","100","","-13.5","-13.5","21.6","22.2"
"1895","Senators","5215","55","837","713","237",".125",".305",".287",".366",".412",".368","32.7","101","","0.3","8.7","-54.8","12.5"
"1922","Cardinals","6061","107","863","787","73",".143",".312",".301",".357",".444",".368","96.5","106","","0.7","53.4","-40.6","22.6"
"1928","Athletics","6003","89","828","760","61",".142",".308",".294",".363",".436",".368","113.8","107","","-13.9","41.9","42.9","29.7"
"1935","Tigers","6182","106","919","836","70",".145",".302",".290",".366",".435",".368","134.2","106","","-8.0","42.3","75.0","31.7"
"1887","Browns","5557","39","1131","862","581",".106","",".307",".371",".413",".368","175.7","111","","19.0","125.3","33.8","33.7"
"1923","Tigers","6166","41","833","739","87",".101",".318",".300",".377",".401",".368","100.9","107","","6.8","65.2","28.6","28.9"
"1896","Phillies","5273","49","890","778","191",".117",".308",".295",".363",".413",".368","59.8","104","","-13.0","23.5","-17.3","17.9"
"1920","Browns","6029","50","797","707","121",".111",".322",".308",".363",".419",".368","146.8","103","","11.9","35.8","25.3","27.4"
"1996","Mariners","6518","245","993","954","90",".197",".312",".287",".366",".484",".367","178.6","112","","-1.2","109.5","33.1","37.1"
"1925","Athletics","6059","76","831","767","67",".127",".324",".308",".364",".434",".367","65.5","99","","0.4","-8.4","43.2","23.3"
"1922","Tigers","6168","54","828","735","78",".110",".323",".306",".373",".416",".367","93.4","106","","4.6","56.4","18.6","26.6"
"1925","Browns","6106","110","898","798","85",".142",".305",".298",".360",".440",".367","65.8","95","","-4.4","-49.5","10.4","16.5"
"1924","Tigers","6263","35","847","768","100",".106",".317",".298",".374",".404",".367","94.2","102","","4.0","24.9","28.3","27.0"
"1948","Yankees","6048","139","857","806","24",".154",".285",".278",".356",".432",".367","117.2","109","","-7.9","60.9","44.3","30.9"
"1930","Robins","6088","122","871","836","53",".150",".321",".304",".364",".454",".367","58.6","98","","10.1","-6.4","92.2","27.5"
"1996","Indians","6486","218","952","904","160",".182",".309",".293",".369",".475",".367","173.9","111","","7.8","110.5","-35.0","30.2"
"1924","Giants","6067","95","857","781","82",".131",".316",".300",".358",".432",".367","89.8","114","","8.9","113.0","56.0","36.3"
"1999","Indians","6554","209","1009","960","147",".177",".323",".289",".373",".467",".367","147.5","112","","6.9","114.5","18.6","34.4"
"1894","Spiders","5259","37","932","790","220",".112",".317",".303",".368",".414",".366","-65.2","87","","-6.3","-139.2","28.9","10.4"
"1940","Red Sox","6174","145","872","808","55",".163",".300",".286",".356",".449",".366","152.4","103","","-13.0","15.9","0.9","23.6"
"1925","Senators","5984","56","828","747","135",".108",".322",".304",".374",".412",".366","57.2","103","","0.2","24.6","63.8","28.3"
"1925","Cardinals","5936","109","828","752","70",".146",".309",".299",".356",".445",".366","59.5","102","","4.3","22.1","49.7","26.4"
"1891","Reds","5606","52","1028","776","447",".106",".297",".274",".367",".380",".366","155.1","111","","29.5","128.4","30.5","35.0"
"1922","Giants","6109","80","852","756","116",".123",".319",".305",".363",".428",".366","84.7","106","","1.4","49.5","96.9","36.2"
"1995","Indians","5686","207","840","803","132",".188",".306",".291",".361",".479",".366","153.4","115","","1.8","116.2","-24.1","27.8"
"1994","Yankees","4611","139","670","632","55",".172",".315",".290",".374",".462",".366","125.8","118","","-6.5","101.5","-16.0","23.4"
"1930","Pirates","6058","86","891","844","76",".146",".319",".303",".365",".449",".365","51.4","95","","14.7","-34.9","16.0","17.3"
"1894","Reds","5220","61","910","772","215",".116",".301",".294",".368",".410",".365","-70.3","86","","-7.4","-151.9","17.8","8.5"
"1921","Cardinals","5915","83","809","733","94",".129",".325",".308",".358",".437",".365","79.1","111","","-4.9","76.4","30.9","30.4"
"1899","Phillies","5986","31","916","787","212",".093","",".301",".363",".395",".365","100.6","109","","-4.9","74.5","27.6","30.3"
"2009","Yankees","6449","244","915","881","111",".194",".306",".283",".362",".478",".365","191.0","117","","0.2","137.5","-25.5","33.8"
"1899","Superbas","5614","27","892","723","271",".092","",".291",".368",".383",".365","96.0","106","","7.9","56.2","44.6","29.1"
"1895","Reds","5190","36","903","766","326",".118",".309",".298",".359",".416",".365","15.2","95","","19.7","-25.6","11.9","16.2"
"1894","Giants","5314","43","940","789","319",".108",".309",".301",".368",".409",".364","-76.5","90","","11.9","-91.7","62.1","16.8"
"1950","Tigers","6232","114","837","788","23",".135",".293",".282",".369",".417",".364","88.9","100","","-14.9","-12.7","75.4","27.8"
"2000","Indians","6512","221","950","889","113",".182",".318",".288",".367",".470",".364","132.3","109","","7.8","89.1","-29.4","27.1"
"1920","Yankees","5900","115","837","745","64",".146",".300",".280",".350",".426",".364","124.5","104","","-2.3","26.9","51.6","28.6"
"1929","Pirates","6198","60","904","828","94",".127",".315",".303",".364",".430",".364","56.3","95","","16.3","-26.1","41.8","21.2"
"2003","Red Sox","6530","238","961","932","88",".202",".307",".289",".360",".491",".364","196.0","120","","3.5","167.2","-61.5","32.6"
"1912","Giants","5802","47","823","701","319",".109",".310",".286",".360",".395",".363","115.5","108","","19.2","81.0","38.1","32.3"
"1997","Rockies","6338","239","923","869","137",".190",".316",".288",".357",".478",".363","160.3","95","","-0.1","-43.3","43.5","19.9"
"1923","Yankees","6036","105","824","771","69",".132",".307",".291",".357",".423",".363","76.4","105","","-3.4","37.1","88.7","31.8"
"1927","Giants","6045","109","817","765","73",".131",".309",".297",".356",".427",".363","86.9","110","","10.2","87.0","50.8","32.6"
"1997","Mariners","6385","264","925","890","89",".204",".305",".280",".355",".485",".363","164.9","116","","1.0","133.6","-10.9","34.0"
"1947","Giants","5924","221","830","790","29",".183",".269",".271",".335",".454",".363","122.7","105","","4.8","39.1","29.4","27.4"
"1999","Rangers","6389","230","945","897","111",".186",".313",".293",".361",".479",".363","124.1","109","","-2.1","74.6","-20.4","26.3"
"1931","Athletics","6018","118","858","798","25",".147",".302",".287",".355",".435",".363","113.8","104","","-6.3","27.6","86.9","32.8"
"1887","Wolverines","5079","55","969","818","267",".134",".308",".299",".353",".434",".363","139.1","114","","-27.6","90.7","50.7","27.5"
"1928","Pirates","6037","52","837","768","64",".112",".324",".309",".364",".421",".363","90.4","102","","9.5","24.0","35.9","24.7"
"1890","Giants","5430","66","1018","793","231",".121",".296",".284",".352",".405",".363","116.8","96","","-13.2","-55.0","26.2","19.7"
"1931","Indians","6116","71","885","812","63",".123",".312",".296",".364",".420",".363","113.8","101","","-14.9","-5.4","4.2","21.7"
"1934","Yankees","6178","135","842","789","71",".140",".293",".278",".364",".419",".362","98.5","107","","-9.1","55.7","74.1","33.9"
"1924","Yankees","5918","98","799","735","69",".137",".302",".291",".353",".427",".362","64.1","100","","-0.6","1.2","34.5","24.1"
"1896","Giants","5225","40","829","720","274",".097",".309",".297",".364",".394",".362","35.6","103","","1.0","27.9","7.1","20.5"
"1911","Athletics","5920","35","861","692","226",".102","",".296",".357",".398",".362","113.4","112","","0.8","91.9","24.8","33.1"
"1951","Dodgers","6214","184","855","794","89",".159",".285",".275",".352",".434",".362","120.9","109","","-6.1","61.2","71.1","34.5"
"1895","Colts","5252","55","866","727","260",".107",".312",".298",".361",".405",".362","3.6","93","","3.9","-55.1","-7.5","12.4"
"1929","Giants","6060","136","897","829","85",".140",".301",".296",".358",".436",".362","44.2","97","","14.6","-11.6","75.5","25.5"
"1950","Dodgers","6086","194","847","774","77",".172",".279",".272",".349",".444",".362","75.7","105","","13.7","53.6","65.8","30.6"
"1931","Cubs","6178","84","828","765","49",".133",".316",".289",".360",".422",".362","109.9","110","","8.4","90.6","27.2","30.5"
"1896","Senators","5315","45","818","702","258",".102",".303",".286",".365",".388",".362","35.1","99","","-2.7","-14.9","-32.8","13.5"
"1936","White Sox","6283","60","920","862","66",".105",".308",".292",".374",".397",".362","63.4","91","","-3.4","-85.9","70.8","20.9"
"1890","Infants","5362","27","849","701","180",".100",".303",".285",".360",".386",".362","111.1","103","","-25.4","-1.9","-59.2","15.6"
"1949","Dodgers","6173","152","879","816","117",".146",".283",".274",".354",".419",".362","83.8","105","","22.1","59.9","74.0","33.4"
"1936","Senators","6095","62","889","823","104",".119",".310",".295",".365",".414",".362","59.4","95","","-1.6","-47.5","56.6","22.4"
"1911","Giants","5781","41","756","651","347",".111",".305",".279",".358",".390",".361","106.5","111","","25.5","103.7","30.1","32.9"
"1889","Giants","5236","52","935","743","292",".111",".299",".282",".360",".393",".361","121.9","110","","-5.2","78.9","40.4","28.7"
