"Season","Team","G","GS","Inn","PO","A","E","FE","TE","DP","DPS","DPT","DPF","Scp","SB","CS","PB","WP","FP","TZ"
"1973","Orioles","1807","1458","13155.0","4384","1915","119","","","465","","","","","70","54","6","42",".981","116"
"1969","Orioles","1856","1458","13263.0","4408","1727","101","","","391","","","","","48","51","14","34",".984","112"
"1984","Twins","1825","1458","12939.0","4308","1678","120","","","354","","","","","92","58","4","38",".980","108"
"1990","Athletics","2027","1458","13104.0","4370","1628","87","","","414","","","","","73","44","14","50",".986","107"
"2001","Mariners","2127","1458","13185.0","4395","1535","83","","","372","","","","","73","29","6","40",".986","101"
"1986","Cardinals","1980","1449","13197.0","4400","1804","123","","","473","","","","","91","60","9","38",".981","99"
"1987","White Sox","1887","1458","13029.0","4345","1782","116","","","464","","","","","98","51","11","35",".981","99"
"1976","Yankees","1740","1431","13095.0","4362","1825","126","","","369","","","","","110","67","16","39",".980","98"
"1980","Athletics","1770","1458","13245.0","4413","1629","129","","","301","","","","","87","66","9","51",".979","98"
"1964","White Sox","1991","1458","13209.0","4394","1809","122","","","432","","","","","32","28","35","49",".981","97"
"1999","Reds","2141","1467","13158.0","4386","1551","105","","","369","","","","","124","34","11","65",".983","95"
"1996","Cubs","2169","1458","13107.0","4369","1767","104","","","386","","","","","129","50","13","48",".983","90"
"1998","Devil Rays","2026","1458","12987.0","4328","1766","94","","","482","","","","","97","61","19","43",".985","89"
"1956","Dodgers","1770","1386","12318.0","4109","1713","111","","","392","","","","","32","27","9","40",".981","86"
"1973","Athletics","1980","1458","13116.0","4376","1711","137","","","424","","","","","54","60","9","52",".978","86"
"1959","White Sox","1872","1404","12828.0","4281","1751","130","","","375","","","","","56","37","10","21",".979","85"
"1998","Braves","2032","1458","12948.0","4316","1681","91","","","379","","","","","85","40","13","51",".985","84"
"1975","Dodgers","1903","1458","13227.0","4409","1656","127","","","279","","","","","68","33","17","36",".979","83"
"1983","Tigers","1924","1458","13055.0","4352","1705","125","","","384","","","","","80","63","12","59",".980","82"
"1972","Orioles","1750","1386","12345.0","4111","1650","100","","","399","","","","","44","44","6","35",".983","81"
"1975","Orioles","1800","1425","13059.0","4353","1974","107","","","477","","","","","93","62","5","44",".983","81"
"1989","Cardinals","2047","1476","13149.0","4383","1856","111","","","358","","","","","133","55","12","40",".983","81"
"1967","White Sox","2119","1458","13413.0","4468","1947","139","","","397","","","","","70","53","30","54",".979","80"
"1982","Tigers","1906","1458","13054.0","4354","1843","117","","","449","","","","","84","63","15","52",".981","80"
"1993","Braves","2005","1458","13095.0","4365","1769","108","","","403","","","","","121","53","13","46",".983","80"
"1995","Red Sox","1836","1296","11634.0","3873","1581","120","","","411","","","","","80","41","29","57",".978","79"
"1996","Mets","2066","1458","12960.0","4319","1717","159","","","441","","","","","125","33","10","60",".974","79"
"1996","Cardinals","2096","1458","13071.0","4356","1666","125","","","382","","","","","104","54","7","44",".980","78"
"1978","Phillies","1934","1458","12927.0","4307","1825","104","","","418","","","","","91","56","6","29",".983","77"
"1995","Giants","1845","1296","11643.0","3882","1548","108","","","383","","","","","88","45","7","43",".980","77"
"1890","Solons","886","140","1214.2","3028","1691","327","","","237","","","","","","","90","",".935","76"
"1940","Reds","1084","155","1407.2","3155","1782","102","","","419","","","","","","","11","",".980","76"
"1960","Yankees","1936","1395","12582.0","4192","1792","129","","","448","","","","","43","34","14","38",".979","76"
"1968","Orioles","1915","1458","13058.0","4342","1696","118","","","349","","","","","80","59","24","54",".981","76"
"1964","Orioles","1899","1467","13128.0","4373","1724","95","","","440","","","","","63","27","20","31",".985","75"
