"Season","Team","W","L","SV","IP","R","ER","H/9","K/9","BB/9","HR/9","WHIP","BABIP","EV","ERA","FIP","xFIP","RAR","RA9-WAR","WAR"
"1876","Brown Stockings","45","19","0","577.0","229","78","7.36","1.61","0.61","0.05","0.89",".235","","1.22","2.15","","41.0","15.7","3.4"
"1884","Grays","84","28","2","1036.1","388","185","7.16","5.55","1.49","0.23","0.96",".259","","1.61","2.86","","152.8","34.4","13.3"
"1875","Dark Blues","54","28","0","771.0","343","139","8.24","0.19","0.19","0.05","0.94",".245","","1.62","2.46","","114.7","25.0","9.6"
"1880","Grays","52","32","2","799.0","299","146","7.47","3.22","0.57","0.08","0.89",".250","","1.64","2.12","","82.5","18.5","8.2"
"1882","Red Stockings","55","25","0","721.1","268","132","7.60","2.06","1.56","0.09","1.02",".244","","1.65","2.95","","67.0","22.8","6.0"
"1876","Dark Blues","47","21","0","624.0","261","116","8.22","1.64","0.39","0.03","0.96",".257","","1.67","2.04","","101.4","19.5","8.9"
"1876","Grays","30","36","0","643.0","344","121","8.47","1.75","0.53","0.04","1.00",".263","","1.69","2.08","","116.6","14.7","10.4"
"1875","Red Stockings","71","8","17","732.0","343","138","9.22","0.53","0.36","0.02","1.06",".270","","1.70","2.41","","89.9","20.0","7.4"
"1885","Giants","85","27","1","994.0","370","190","6.86","4.67","2.40","0.10","1.03",".246","","1.72","2.79","","128.0","29.0","11.8"
"1907","Cubs","107","44","8","1373.1","390","264","6.91","3.84","2.63","0.07","1.06",".241","","1.73","2.31","","148.8","32.1","17.8"
"1909","Cubs","104","49","11","1409.1","389","272","6.99","4.34","2.32","0.04","1.03",".248","","1.74","2.08","","183.5","36.4","22.4"
"1906","Cubs","115","36","10","1388.1","381","270","6.60","4.55","2.89","0.08","1.05",".238","","1.75","2.43","","147.8","37.1","17.6"
"1876","White Stockings","52","14","4","592.1","257","116","9.24","0.77","0.44","0.09","1.08",".271","","1.76","2.34","","76.5","17.4","6.6"
"1910","Athletics","102","48","5","1421.2","441","282","6.98","4.99","2.85","0.05","1.09",".254","","1.79","2.23","","136.6","29.4","16.4"
"1878","Reds","37","23","0","548.0","281","112","8.97","3.61","1.03","0.03","1.11",".291","","1.84","2.13","","56.1","6.7","5.2"
"1880","Blues","47","37","1","759.2","337","160","8.12","3.42","1.16","0.05","1.03",".269","","1.90","2.23","","70.1","11.8","7.0"
"1880","White Stockings","67","17","3","775.0","317","166","7.22","4.26","1.50","0.09","0.97",".252","","1.93","2.22","","96.0","17.3","9.7"
"1909","Athletics","95","58","3","1378.0","409","296","6.98","4.75","2.52","0.06","1.06",".251","","1.93","2.08","","119.7","27.2","15.1"
"1884","Maroons","92","19","6","993.0","429","215","7.60","4.98","1.00","0.08","0.95",".269","","1.95","2.61","","90.5","27.8","8.5"
"1888","Giants","83","47","1","1208.0","476","263","6.76","5.41","2.29","0.20","1.00",".247","","1.96","2.51","","149.9","25.0","14.8"
"1905","White Sox","92","60","0","1427.0","450","315","7.33","3.87","2.07","0.07","1.05",".252","","1.99","2.45","","122.4","27.7","14.0"
"1872","Red Stockings","39","8","1","430.1","236","95","9.16","0.59","0.56","0.00","1.08",".270","","1.99","3.57","","71.4","16.8","4.3"
"1908","Naps","90","64","5","1424.1","466","319","7.41","3.46","2.07","0.10","1.05",".250","","2.02","2.17","","104.5","23.7","13.5"
